,stats,aic
259,"ARIMA(1, 0, 0)x(1, 2, 1, 12)",287.52890716546773
260,"ARIMA(1, 0, 0)x(1, 2, 2, 12)",197.55305149334893
261,"ARIMA(1, 0, 0)x(2, 0, 0, 12)",238.05380314485333
262,"ARIMA(1, 0, 0)x(2, 0, 1, 12)",325.84061258125723
263,"ARIMA(1, 0, 0)x(2, 0, 2, 12)",122.83765011033671
264,"ARIMA(1, 0, 0)x(2, 1, 0, 12)",193.3331247415107
265,"ARIMA(1, 0, 0)x(2, 1, 1, 12)",108.76384674835506
266,"ARIMA(1, 0, 0)x(2, 1, 2, 12)",109.78108657090564
267,"ARIMA(1, 0, 0)x(2, 2, 0, 12)",462.0228570862598
268,"ARIMA(1, 0, 0)x(2, 2, 1, 12)",243.42047882040376
269,"ARIMA(1, 0, 0)x(2, 2, 2, 12)",200.70093844699682
270,"ARIMA(1, 0, 1)x(0, 0, 0, 12)",87.86754736584741
271,"ARIMA(1, 0, 1)x(0, 0, 1, 12)",81.39217726012599
272,"ARIMA(1, 0, 1)x(0, 0, 2, 12)",73.4845218444028
273,"ARIMA(1, 0, 1)x(0, 1, 0, 12)",375.1587137547077
274,"ARIMA(1, 0, 1)x(0, 1, 1, 12)",105.59715268086794
275,"ARIMA(1, 0, 1)x(0, 1, 2, 12)",102.94134199139245
276,"ARIMA(1, 0, 1)x(0, 2, 0, 12)",876.742827612104
277,"ARIMA(1, 0, 1)x(0, 2, 1, 12)",397.8687217311004
278,"ARIMA(1, 0, 1)x(0, 2, 2, 12)",180.26605746709953
279,"ARIMA(1, 0, 1)x(1, 0, 0, 12)",81.07176738813176
280,"ARIMA(1, 0, 1)x(1, 0, 1, 12)",127.31513814555838
281,"ARIMA(1, 0, 1)x(1, 0, 2, 12)",109.98613830488488
282,"ARIMA(1, 0, 1)x(1, 1, 0, 12)",238.24171648248318
283,"ARIMA(1, 0, 1)x(1, 1, 1, 12)",106.04518388633866
284,"ARIMA(1, 0, 1)x(1, 1, 2, 12)",104.53679656541124
285,"ARIMA(1, 0, 1)x(1, 2, 0, 12)",590.768354284467
286,"ARIMA(1, 0, 1)x(1, 2, 1, 12)",288.96284684671764
287,"ARIMA(1, 0, 1)x(1, 2, 2, 12)",178.97917292526114
288,"ARIMA(1, 0, 1)x(2, 0, 0, 12)",72.88070637298408
289,"ARIMA(1, 0, 1)x(2, 0, 1, 12)",92.87996520397874
290,"ARIMA(1, 0, 1)x(2, 0, 2, 12)",115.18670448586762
291,"ARIMA(1, 0, 1)x(2, 1, 0, 12)",193.30346704816807
292,"ARIMA(1, 0, 1)x(2, 1, 1, 12)",104.16809108032672
293,"ARIMA(1, 0, 1)x(2, 1, 2, 12)",104.551602395084
294,"ARIMA(1, 0, 1)x(2, 2, 0, 12)",463.2222195998186
295,"ARIMA(1, 0, 1)x(2, 2, 1, 12)",243.1248368006959
296,"ARIMA(1, 0, 1)x(2, 2, 2, 12)",178.01130202250818
297,"ARIMA(1, 0, 2)x(0, 0, 0, 12)",82.7665278911588
298,"ARIMA(1, 0, 2)x(0, 0, 1, 12)",69.86262881752548
299,"ARIMA(1, 0, 2)x(0, 0, 2, 12)",71.56072737723902
300,"ARIMA(1, 0, 2)x(0, 1, 0, 12)",377.055979888629
301,"ARIMA(1, 0, 2)x(0, 1, 1, 12)",102.15984004588275
302,"ARIMA(1, 0, 2)x(0, 1, 2, 12)",95.98071449770836
303,"ARIMA(1, 0, 2)x(0, 2, 0, 12)",875.6828617941842
304,"ARIMA(1, 0, 2)x(0, 2, 1, 12)",397.782332556755
305,"ARIMA(1, 0, 2)x(0, 2, 2, 12)",178.27858250692697
306,"ARIMA(1, 0, 2)x(1, 0, 0, 12)",78.9135642020758
307,"ARIMA(1, 0, 2)x(1, 0, 1, 12)",124.58842253668436
308,"ARIMA(1, 0, 2)x(1, 0, 2, 12)",83.09156079175708
309,"ARIMA(1, 0, 2)x(1, 1, 0, 12)",240.1748564841517
310,"ARIMA(1, 0, 2)x(1, 1, 1, 12)",103.6680278779724
311,"ARIMA(1, 0, 2)x(1, 1, 2, 12)",95.09251987981347
312,"ARIMA(1, 0, 2)x(1, 2, 0, 12)",592.8510028842145
313,"ARIMA(1, 0, 2)x(1, 2, 1, 12)",289.74686015873783
314,"ARIMA(1, 0, 2)x(1, 2, 2, 12)",177.70128555974048
315,"ARIMA(1, 0, 2)x(2, 0, 0, 12)",70.07568052502187
316,"ARIMA(1, 0, 2)x(2, 0, 1, 12)",94.66504661723702
317,"ARIMA(1, 0, 2)x(2, 0, 2, 12)",105.85051269476688
318,"ARIMA(1, 0, 2)x(2, 1, 0, 12)",195.501340857534
319,"ARIMA(1, 0, 2)x(2, 1, 1, 12)",103.03007600583422
320,"ARIMA(1, 0, 2)x(2, 1, 2, 12)",97.45292976063803
321,"ARIMA(1, 0, 2)x(2, 2, 0, 12)",465.1991063311941
322,"ARIMA(1, 0, 2)x(2, 2, 1, 12)",245.1136690987768
323,"ARIMA(1, 0, 2)x(2, 2, 2, 12)",174.84418132682015
324,"ARIMA(1, 1, 0)x(0, 0, 0, 12)",246.73683924465445
325,"ARIMA(1, 1, 0)x(0, 0, 1, 12)",223.2769917636468
326,"ARIMA(1, 1, 0)x(0, 0, 2, 12)",219.8831659273228
327,"ARIMA(1, 1, 0)x(0, 1, 0, 12)",538.4290137232158
328,"ARIMA(1, 1, 0)x(0, 1, 1, 12)",258.7613915887097
329,"ARIMA(1, 1, 0)x(0, 1, 2, 12)",252.03493913775617
330,"ARIMA(1, 1, 0)x(0, 2, 0, 12)",1021.5437565990097
331,"ARIMA(1, 1, 0)x(0, 2, 1, 12)",548.1538576536346
332,"ARIMA(1, 1, 0)x(0, 2, 2, 12)",325.57068425733246
333,"ARIMA(1, 1, 0)x(1, 0, 0, 12)",223.70029703390736
334,"ARIMA(1, 1, 0)x(1, 0, 1, 12)",225.0626832602618
335,"ARIMA(1, 1, 0)x(1, 0, 2, 12)",221.86379787062398
336,"ARIMA(1, 1, 0)x(1, 1, 0, 12)",412.78669416719094
337,"ARIMA(1, 1, 0)x(1, 1, 1, 12)",263.8094440561973
338,"ARIMA(1, 1, 0)x(1, 1, 2, 12)",248.72057694906323
