,stats,aic
216,"ARIMA(0, 2, 2)x(0, 0, 0, 12)",-569.9222082774072
217,"ARIMA(0, 2, 2)x(0, 0, 1, 12)",-560.1090186920173
218,"ARIMA(0, 2, 2)x(0, 0, 2, 12)",-546.3952950606758
219,"ARIMA(0, 2, 2)x(0, 1, 0, 12)",-221.41375555738756
220,"ARIMA(0, 2, 2)x(0, 1, 1, 12)",-501.95856251911493
221,"ARIMA(0, 2, 2)x(0, 1, 2, 12)",-499.43599096583597
222,"ARIMA(0, 2, 2)x(0, 2, 0, 12)",295.53204859069456
223,"ARIMA(0, 2, 2)x(0, 2, 1, 12)",-170.46141773822796
224,"ARIMA(0, 2, 2)x(0, 2, 2, 12)",-416.6891238178383
225,"ARIMA(0, 2, 2)x(1, 0, 0, 12)",-554.7335416396465
226,"ARIMA(0, 2, 2)x(1, 0, 1, 12)",-558.082646338316
227,"ARIMA(0, 2, 2)x(1, 0, 2, 12)",-544.2076747089355
228,"ARIMA(0, 2, 2)x(1, 1, 0, 12)",-345.1107711414776
229,"ARIMA(0, 2, 2)x(1, 1, 1, 12)",-491.7219689100416
230,"ARIMA(0, 2, 2)x(1, 1, 2, 12)",-508.50441235266806
231,"ARIMA(0, 2, 2)x(1, 2, 0, 12)",20.273613901745307
232,"ARIMA(0, 2, 2)x(1, 2, 1, 12)",-273.4539803280485
233,"ARIMA(0, 2, 2)x(1, 2, 2, 12)",-275.0961864274265
234,"ARIMA(0, 2, 2)x(2, 0, 0, 12)",-549.6325031067482
235,"ARIMA(0, 2, 2)x(2, 0, 1, 12)",-547.9532210965759
236,"ARIMA(0, 2, 2)x(2, 0, 2, 12)",-547.5417499956349
237,"ARIMA(0, 2, 2)x(2, 1, 0, 12)",-384.4169501510686
238,"ARIMA(0, 2, 2)x(2, 1, 1, 12)",-488.7605946676416
239,"ARIMA(0, 2, 2)x(2, 1, 2, 12)",-499.9525472903282
240,"ARIMA(0, 2, 2)x(2, 2, 0, 12)",-82.31700478150844
241,"ARIMA(0, 2, 2)x(2, 2, 1, 12)",-313.3981956366423
242,"ARIMA(0, 2, 2)x(2, 2, 2, 12)",-380.3781722280137
243,"ARIMA(1, 0, 0)x(0, 0, 0, 12)",-278.2536195458147
244,"ARIMA(1, 0, 0)x(0, 0, 1, 12)",-266.21756887036156
245,"ARIMA(1, 0, 0)x(0, 0, 2, 12)",-267.3216312266885
246,"ARIMA(1, 0, 0)x(0, 1, 0, 12)",-248.508906791324
